#meta,export_name,profile_data
#meta,original_variable,beam['profile_data']
#meta,shape,"(5, 800, 7)"
#meta,ndim,3
#meta,size,28000
#meta,export_mode,full
i,j,k,value
0,58,4,15.122886569683047
0,58,5,45.69142860604098
0,58,6,1.015123672205407
0,59,0,0.9159289319092209
0,59,1,0.07294309328247708
0,59,2,0.011127974808301987
0,59,3,0.302505533850704
0,59,4,15.301609253676034
0,59,5,45.71144249903377
0,59,6,1.0147997049498885
0,60,0,0.9151768841950172
0,60,1,0.07356873828055469
0,60,2,0.011254377524428122
0,60,3,0.3073890548177592
0,60,4,15.537693057099396
0,60,5,45.74376814533838
0,60,6,1.0150054151963863
0,61,0,0.9134278912088762
0,61,1,0.07482729700918606
0,61,2,0.011744811781937713
0,61,3,0.313238527410767
0,61,4,15.635587665542642
0,61,5,45.78343019855871
0,61,6,1.0158698388546898
0,62,0,0.912705309418069
0,62,1,0.07580949602316356
0,62,2,0.01148519455876741
0,62,3,0.31290840914495904
0,62,4,15.87424052870945
0,62,5,45.781292953032974
0,62,6,1.0161429654588394
0,63,0,0.9110077767940346
0,63,1,0.07688963802196215
0,63,2,0.012102585184003286
0,63,3,0.31842251534768384
0,63,4,15.887562256121267
0,63,5,45.8193555131197
0,63,6,1.0156593724262777
0,64,0,0.9093985697881861
0,64,1,0.07791313545830603
0,64,2,0.01268829475350777
0,64,3,0.32005942019101197
0,64,4,15.926517493760041
0,64,5,45.83081989342198
0,64,6,1.015935825194095
0,65,0,0.9080291851476422
0,65,1,0.07913436847903454
0,65,2,0.01283644637332333
0,65,3,0.3238679908963642
0,65,4,16.027688735437803
0,65,5,45.857396790551554
0,65,6,1.0161254107659872
0,66,0,0.907441966812639
0,66,1,0.07936875239496502
0,66,2,0.01318928079239598
0,66,3,0.3309540670057474
0,66,4,16.147060637442046
0,66,5,45.908055344673016
0,66,6,1.0165979278664736
0,67,0,0.9063215450539981
0,67,1,0.07980196900806305
0,67,2,0.013876485937938898
0,67,3,0.33136464962211476
0,67,4,16.0511074794453
0,67,5,45.26982598168935
0,67,6,1.0163523961832346
0,68,0,0.9054689720442007
0,68,1,0.08072330099457165
0,68,2,0.013807726961227578
0,68,3,0.3333742266054504
0,68,4,16.382709305479445
0,68,5,45.92632564020529
0,68,6,1.0173353521575061
0,69,0,0.9045346834333428
0,69,1,0.08171352076371582
0,69,2,0.013751795802941391
0,69,3,0.34131352235240475
0,69,4,16.594478713482676
0,69,5,45.98382557928275
0,69,6,1.0170197982438454
0,70,0,0.9029064676122852
0,70,1,0.08294579042237357
0,70,2,0.014147741965341291
0,70,3,0.34707163560736926
0,70,4,16.689440573880997
0,70,5,45.88103935588753
0,70,6,1.0169485242455443
0,71,0,0.9017265677605497
0,71,1,0.08329842441997909
0,71,2,0.01497500781947109
0,71,3,0.3484607460708975
0,71,4,16.461797439056852
0,71,5,45.52588474588313
